experiment_label         ,solver         ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual ,l2_dual_residual       ,l_inf_dual_residual    ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+primal_weight,1e-4,1"  ,+primal_weight ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1520 ,  10.247171625 ,          1677.0362391490735 ,213.99619049732468 ,214.0104778128221  ,3.330324806769179e-5    ,5.5318118327102424e-5  ,1.1708748857031104e-5 ,0.0024031173291539556  ,0.00019095681658964914 ,1.1063623665420484e-5       ,5.854374428515552e-6           ,2.9822830950008568e-6     ,8.852302755987424e-6         ,  0.24999730215855392 ,4.795749552331987  , 22.712166024672644
"+primal_weight,1e-4,2"  ,+primal_weight ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1840 ,   7.276400501 ,          2021.086614145566  ,214.02016120085187 ,213.97961810563402 ,9.450609807631503e-5    ,0.00029124867241875677 ,6.016749576653879e-5  ,0.0                    ,0.0                    ,5.824973448375136e-5        ,3.0083747883269396e-5          ,0.0                       ,0.0                          ,  0.25003199673305126 ,4.796265676218172  , 28.436930351438583
"+primal_weight,1e-4,3"  ,+primal_weight ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1080 ,   5.039703267 ,          1204.0752695410424 ,214.0294846127111  ,214.00609934025243 ,5.450660349239906e-5    ,0.00041629518536417324 ,9.078122783101605e-5  ,0.0015484138135893372  ,0.00013607267547932622 ,8.325903707283465e-5        ,4.539061391550803e-5           ,1.9215908787770423e-6     ,6.308004823670249e-6         ,  0.2500351311306718  ,4.796457915740294  , 25.149562155984114
"+primal_weight,1e-4,4"  ,+primal_weight ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1400 ,   6.972460742 ,          1548.1283867600898 ,213.97079290182873 ,214.00733318734473 ,8.517983387432978e-5    ,0.00044391678221208925 ,8.451212402671437e-5  ,0.0021466862179368826  ,0.00019857598144801258 ,8.878335644241785e-5        ,4.225606201335719e-5           ,2.6640505398371018e-6     ,9.205509073931819e-6         ,  0.24997888014282374 ,4.795196414353143  , 27.008038074227734
"+primal_weight,1e-4,5"  ,+primal_weight ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1240 ,   7.065713242 ,          1376.1402505381768 ,214.03026727243136 ,214.00009490159798 ,7.032688940822543e-5    ,0.00043610690685633706 ,9.685524560509862e-5  ,0.0012943091035476802  ,0.00013027729144221567 ,8.722138137126741e-5        ,4.842762280254931e-5           ,1.6062454014989418e-6     ,6.039344636514091e-6         ,  0.25003702667683314 ,4.796469148973373  , 25.32873108345872
"+primal_weight,1e-4,6"  ,+primal_weight ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1720 ,  10.986590043 ,          1892.2302999022027 ,213.98844831181742 ,214.02743129243967 ,9.086605525699983e-5    ,0.00045065609009123934 ,2.3356124693507674e-5 ,0.005865968926581809   ,0.0005111719113539692  ,9.013121801824787e-5        ,1.1678062346753837e-5          ,7.279702806564256e-6      ,2.369671112284023e-5         ,  0.24999454688959877 ,4.7955512827040305 , 25.495074804412212
"+primal_weight,1e-4,7"  ,+primal_weight ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1320 ,   9.628653257 ,          1462.2033787712248 ,214.02796171920016 ,213.99335921532008 ,8.065450874261232e-5    ,0.0004376925642301187  ,9.219647372504802e-5  ,0.0006087423351525019  ,0.00014231455166324736 ,8.753851284602373e-5        ,4.609823686252401e-5           ,7.554529083171311e-7      ,6.597363322268368e-6         ,  0.2500407099161616  ,4.796429089115483  , 25.678903581246892
"+primal_weight,1e-4,10" ,+primal_weight ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1680 ,  21.657173126 ,          1849.3543958743917 ,214.0218714695162  ,214.0021114323693  ,4.605811780789955e-5    ,0.00034903402382916273 ,6.862804166085645e-5  ,0.0011768547978841747  ,0.00016978650999632805 ,6.980680476583255e-5        ,3.431402083042823e-5           ,1.460483899983468e-6      ,7.87089781455569e-6          ,  0.2500311462768996  ,4.79630059722167   , 23.33275127816968
"+primal_weight,1e-4,15" ,+primal_weight ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1320 ,  16.725438953 ,          1462.3874549584332 ,213.99838006255786 ,213.99979329831677 ,3.2942698749646885e-6   ,2.4198884569602317e-5  ,5.3718392434287665e-6 ,4.579391924297067e-6   ,1.6852864863636796e-6  ,4.839776913920463e-6        ,2.6859196217143833e-6          ,5.6830529893530836e-9     ,7.812586360781546e-8         ,  0.24999879336187675 ,4.795796959907116  , 23.216010436060632
"+primal_weight,1e-4,20" ,+primal_weight ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2440 ,  33.984071319 ,          2666.8804190368205 ,213.98896470282034 ,213.99449692337635 ,1.2896116169687229e-5   ,0.00036179357801814714 ,8.61644573161291e-5   ,0.0                    ,0.0                    ,7.235871560362943e-5        ,4.308222865806455e-5           ,0.0                       ,0.0                          ,  0.2500201522138602  ,4.795613352120192  , 22.98745561525562
"+primal_weight,1e-4,30" ,+primal_weight ,1e-4      ,    30 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1480 ,  21.951821352 ,          1634.6653678258372 ,214.00177531863946 ,213.99972154733655 ,4.78732899049305e-6     ,0.00038908840220830133 ,8.259762950979521e-5  ,0.00017123190620575306 ,2.9977476803111358e-5  ,7.781768044166027e-5        ,4.1298814754897606e-5          ,2.124998280387641e-7      ,1.3896843551387323e-6        ,  0.250020649407405   ,4.795904586317108  , 22.942585370187857
"+primal_weight,1e-4,40" ,+primal_weight ,1e-4      ,    40 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1560 ,  26.490378076 ,          1720.7443169927437 ,213.99929550530032 ,213.9998403301646  ,1.269990586850107e-6    ,1.4311458255446189e-5  ,3.0797247326797006e-6 ,3.941631357918257e-6   ,1.5732202696128184e-6  ,2.862291651089238e-6        ,1.5398623663398503e-6          ,4.891588281119586e-9      ,7.293074097687762e-8         ,  0.2500000054915078  ,4.795816742578552  , 22.9408462086011
