experiment_label         ,solver         ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual    ,l_inf_primal_residual ,l2_dual_residual      ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+primal_weight,1e-8,1"  ,+primal_weight ,1e-8      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2480 ,  13.557184399 ,                      2709.0 ,213.99999683651515 ,214.00000074912063 ,9.120292542511029e-9    ,4.588195524572921e-8  ,9.395640931941784e-9  ,1.717158688752091e-7  ,1.356613266167983e-8  ,9.176391049145842e-9        ,4.697820465970892e-9           ,2.1310042862959682e-10    ,6.288935671102351e-10        ,  0.2499999976510905  ,4.79583145517467   , 22.711510804625345
"+primal_weight,1e-8,2"  ,+primal_weight ,1e-8      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2400 ,   8.735354521 ,                      2623.0 ,214.0000020541417  ,213.99999916290602 ,6.739477092979849e-9    ,2.96678008911967e-8   ,6.098902272100304e-9  ,0.0                   ,0.0                   ,5.93356017823934e-9         ,3.049451136050152e-9           ,0.0                       ,0.0                          ,  0.25005208165665    ,4.795831665589694  , 28.479150468090683
"+primal_weight,1e-8,3"  ,+primal_weight ,1e-8      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1960 ,   8.325770968 ,                      2150.0 ,214.00000188220056 ,213.99999907643362 ,6.540249262012453e-9    ,2.718398395700124e-8  ,5.588294937908245e-9  ,0.0                   ,0.0                   ,5.436796791400248e-9        ,2.7941474689541224e-9          ,0.0                       ,0.0                          ,  0.2500000024561752  ,4.795831563839548  , 25.15794353464707
"+primal_weight,1e-8,4"  ,+primal_weight ,1e-8      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2280 ,  10.430997856 ,                      2494.0 ,214.00000169511935 ,214.000000338774   ,3.1616441922629413e-9   ,2.448145942361739e-8  ,5.032728456200175e-9  ,7.760462411170387e-8  ,6.1310305721207214e-9 ,4.896291884723478e-9        ,2.5163642281000875e-9          ,9.630780643727912e-11     ,2.8421996030263385e-10       ,  0.2500000026504568  ,4.795831559810531  , 27.006916954622262
"+primal_weight,1e-8,5"  ,+primal_weight ,1e-8      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2240 ,  11.834274563 ,                      2451.0 ,214.00000106636483 ,214.0000031122682  ,4.769005449676289e-9    ,1.539864024186623e-8  ,3.16554604751218e-9   ,7.136936130783309e-7  ,5.638416356035236e-8  ,3.0797280483732462e-9       ,1.58277302375609e-9            ,8.856980770235336e-10     ,2.6138353968894575e-9        ,  0.2500000012527922  ,4.795831546269548  , 25.328448437719768
"+primal_weight,1e-8,6"  ,+primal_weight ,1e-8      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2640 ,  16.138363908 ,                      2881.0 ,214.00000162887198 ,213.9999996295967  ,4.660315366756569e-9    ,2.3524468265885558e-8 ,4.835996714191992e-9  ,0.0                   ,0.0                   ,4.704893653177111e-9        ,2.417998357095996e-9           ,0.0                       ,0.0                          ,  0.2500000019138728  ,4.7958315583838145 , 25.483042411907103
"+primal_weight,1e-8,7"  ,+primal_weight ,1e-8      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2400 ,  17.130093528 ,                      2623.0 ,214.00000102540974 ,214.0000025829474  ,3.630623847663477e-9    ,1.4807015343999513e-8 ,3.0439233356105433e-9 ,5.922961591782622e-7  ,4.679335052770739e-8  ,2.9614030687999027e-9       ,1.5219616678052716e-9          ,7.350431047713958e-10     ,2.1692281702017182e-9        ,  0.25000000122395705 ,4.795831545387533  , 25.613879446040638
"+primal_weight,1e-8,10" ,+primal_weight ,1e-8      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1840 ,  16.380104059 ,                      2021.0 ,214.00000115572084 ,214.00000163091858 ,1.107687025811273e-9    ,1.6689454365220894e-8 ,3.4309037832969125e-9 ,3.739524353212248e-7  ,2.95434847696896e-8   ,3.337890873044179e-9        ,1.7154518916484562e-9          ,4.6407722696815634e-10    ,1.3695655191518933e-9        ,  0.250000001357805   ,4.795831548193938  , 23.390008005910985
"+primal_weight,1e-8,15" ,+primal_weight ,1e-8      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2040 ,  21.282197574 ,                      2236.0 ,213.999999512198   ,213.99999849577046 ,2.3692949913607476e-9   ,7.0859195992370505e-9 ,1.4848346996387818e-9 ,0.0                   ,0.0                   ,1.4171839198474101e-9       ,7.424173498193909e-10          ,0.0                       ,0.0                          ,  0.24999999964484995 ,4.795831512796237  , 23.16244058257976
"+primal_weight,1e-8,20" ,+primal_weight ,1e-8      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1760 ,  23.930736688 ,                      1935.0 ,213.9999980785505  ,214.00000019226172 ,4.927065797246188e-9    ,3.2004550097528e-8    ,7.373427424184342e-9  ,5.395984175761186e-8  ,6.870702229377912e-9  ,6.4009100195056e-9          ,3.686713712092171e-9           ,6.696448897037502e-11     ,3.1850937487815177e-10       ,  0.24999999884846516 ,4.795831480955276  , 22.95395052252931
"+primal_weight,1e-8,30" ,+primal_weight ,1e-8      ,    30 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2080 ,  29.834277346 ,                      2279.0 ,214.0000013692024  ,214.00000044710373 ,2.149414159436059e-9    ,1.9780458481620015e-8 ,4.08645406402286e-9   ,1.0244962581152866e-7 ,8.106812887653803e-9  ,3.956091696324003e-9        ,2.04322703201143e-9            ,1.271406033489226e-10     ,3.758125179781726e-10        ,  0.2500000016193215  ,4.795831552801565  , 23.193621333765897
"+primal_weight,1e-8,40" ,+primal_weight ,1e-8      ,    40 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2040 ,  31.170806226 ,                      2236.0 ,213.99999932310624 ,214.00000147326637 ,5.0120282614815915e-9   ,9.822427040557685e-9  ,2.03288275102409e-9   ,3.378065496159638e-7  ,2.7040645722564705e-8 ,1.964485408111537e-9        ,1.016441375512045e-9           ,4.192199648674398e-10     ,1.253539867958368e-9         ,  0.24999999950404372 ,4.795831508728475  , 22.978645731825832
