experiment_label    ,solver    ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual ,l2_dual_residual       ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"+restarts,1e-4,1"  ,+restarts ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2080 ,  12.379020801 ,                      2242.0 ,213.992816741809   ,214.00136821552766 ,1.99337753715816e-5     ,0.00010289869579716641 ,2.0433080722748187e-5 ,0.0002872456925609385  ,1.5818410103562996e-5 ,2.0579739159433284e-5       ,1.0216540361374093e-5          ,3.5647363640704663e-7     ,7.333037796499397e-7         ,  0.24999490725147258 ,4.7956781062759415 , 20.7548329418636
"+restarts,1e-4,2"  ,+restarts ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2520 ,   7.85402884  ,                      2705.0 ,213.9970237964103  ,214.00393647874205 ,1.6113442560387368e-5   ,4.9007523514762106e-5  ,1.1822119591942126e-5 ,0.0008264906259303115  ,4.5773204385923805e-5 ,9.801504702952421e-6        ,5.911059795971063e-6           ,1.0256798500789038e-6     ,2.1219366272041887e-6        ,  0.2500365679881738  ,4.795767675323118  , 20.75912411024407
"+restarts,1e-4,3"  ,+restarts ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           1880 ,   6.823878957 ,                      2034.0 ,214.03225031186454 ,214.0054675824523  ,6.242511624314623e-5    ,0.0004543543258395663  ,9.462573022522847e-5  ,0.001146439793660348   ,6.36095826374028e-5   ,9.087086516791325e-5        ,4.731286511261423e-5           ,1.422738696355382e-6      ,2.948788599143483e-6         ,  0.25003822169104695 ,4.79651924468093   , 20.764161661928767
"+restarts,1e-4,4"  ,+restarts ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2720 ,  13.01448661  ,                      2914.0 ,214.01897880714898 ,214.00203499009632 ,3.94941424959451e-5     ,0.00026854417392623345 ,5.428992225797735e-5  ,0.000427060768699277   ,2.4591036559939994e-5 ,5.370883478524669e-5        ,2.7144961128988676e-5          ,5.299849889053547e-7      ,1.1399818273046351e-6        ,  0.25043018554733654 ,4.7962392265387885 , 20.753438814064992
"+restarts,1e-4,5"  ,+restarts ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2680 ,  14.788300672 ,                      2873.0 ,213.99074057314058 ,213.99708745124585 ,1.4795007435272089e-5   ,0.00013278777821087702 ,2.719746709534121e-5  ,0.0                    ,0.0                   ,2.6557555642175405e-5       ,1.3598733547670605e-5          ,0.0                       ,0.0                          ,  0.2501689310007742  ,4.795634512453133  , 20.75300246430386
"+restarts,1e-4,6"  ,+restarts ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  18.720005284 ,                      2787.0 ,214.03221359466542 ,214.00056764487783 ,7.376114640041757e-5    ,0.0004845610496637007  ,0.0001224556739261029 ,0.00015276978615490355 ,3.0149774130627804e-5 ,9.691220993274015e-5        ,6.122783696305145e-5           ,1.8958822573888427e-7     ,1.397671648467468e-6         ,  0.25017952262802245 ,4.796520113176052  , 20.752839462968794
"+restarts,1e-4,7"  ,+restarts ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  19.512874324 ,                      2787.0 ,214.0053601047541  ,213.99689216263832 ,1.9738689181738015e-5   ,0.00015630509610063684 ,2.488312919624036e-5  ,1.7719961377751798e-5  ,1.2000885462271071e-5 ,3.1261019220127366e-5       ,1.244156459812018e-5           ,2.1990578911743058e-8     ,5.563324386593809e-7         ,  0.250215679054228   ,4.795953264732513  , 20.750020152095015
"+restarts,1e-4,10" ,+restarts ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2680 ,  27.496286139 ,                      2871.0 ,213.9955614209549  ,213.99919978707413 ,8.481143473578801e-6    ,6.578559603892588e-5   ,1.2820315037687102e-5 ,0.0                    ,0.0                   ,1.3157119207785176e-5       ,6.410157518843551e-6           ,0.0                       ,0.0                          ,  0.2502499523039781  ,4.795738215682045  , 20.74658571267276
"+restarts,1e-4,15" ,+restarts ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           3360 ,  47.495239797 ,                      3589.0 ,214.00004373217692 ,214.00000007146528 ,1.017732102140368e-7    ,5.6751151412264765e-5  ,5.011608758487274e-6  ,4.777512264770211e-5   ,1.1504140218221437e-5 ,1.1350230282452952e-5       ,2.505804379243637e-6           ,5.928921526440654e-8      ,5.333045134380793e-7         ,  0.2502002168455725  ,4.795832509206161  , 20.745349403884227
"+restarts,1e-4,20" ,+restarts ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2640 ,  41.722591401 ,                      2829.0 ,214.0041948495172  ,214.00001062211012 ,9.75334822762471e-6     ,0.000440887909284935   ,3.394794283106961e-5  ,0.00045144923599508657 ,9.601573821693687e-5  ,8.8177581856987e-5          ,1.6973971415534805e-5          ,5.602512238689554e-7      ,4.451060712131863e-6         ,  0.25105222480047185 ,4.7958713400230994 , 20.748127698465016
"+restarts,1e-4,30" ,+restarts ,1e-4      ,    30 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2440 ,  50.64859856  ,                      2624.0 ,214.0011749188128  ,213.9995391373339  ,3.8130040937326167e-6   ,1.6612745688945104e-5  ,3.3570784894187966e-6 ,0.0                    ,0.0                   ,3.3225491377890207e-6       ,1.6785392447093983e-6          ,0.0                       ,0.0                          ,  0.2503998538871275  ,4.795859033637137  , 20.761358619760802
"+restarts,1e-4,40" ,+restarts ,1e-4      ,    40 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2120 ,  57.105597992 ,                      2290.0 ,214.0211184275138  ,213.99959446549653 ,5.016998333749789e-5    ,0.0002980383564233707  ,6.324805577095916e-5  ,5.749579794141426e-6   ,2.5098226759112663e-6 ,5.960767128467414e-5        ,3.162402788547958e-5           ,7.135263191441106e-9      ,1.1634939557435705e-7        ,  0.25042847720028    ,4.79628156776464   , 20.767642115154803
