experiment_label ,solver ,tolerance ,memory ,instance_name ,termination_reason         ,iteration_count ,solve_time_sec ,cumulative_kkt_matrix_passes ,primal_objective   ,dual_objective     ,relative_optimality_gap ,l2_primal_residual     ,l_inf_primal_residual ,l2_dual_residual       ,l_inf_dual_residual   ,relative_l2_primal_residual ,relative_l_inf_primal_residual ,relative_l2_dual_residual ,relative_l_inf_dual_residual ,l_inf_primal_variable ,l2_primal_variable ,l_inf_dual_variable
"dwifob,1e-4,1"  ,dwifob ,1e-4      ,     1 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           3520 ,  48.292606153 ,                     10779.0 ,213.96620387872724 ,213.99972808906548 ,7.815121863980506e-5    ,0.00048405902371109397 ,9.599561768847131e-5  ,0.0                    ,0.0                   ,9.681180474221879e-5        ,4.7997808844235657e-5          ,0.0                       ,0.0                          ,  0.2499760011173869  ,4.7951098110579355 , 20.754730690347515
"dwifob,1e-4,2"  ,dwifob ,1e-4      ,     2 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2680 ,  33.395153434 ,                      8217.0 ,213.9668071486405  ,213.99837162559538 ,7.358284195719374e-5    ,0.0004753328190886786  ,9.473975767060328e-5  ,0.0                    ,0.0                   ,9.506656381773572e-5        ,4.736987883530164e-5           ,0.0                       ,0.0                          ,  0.2499764363594706  ,4.795122984992853  , 20.757913438429366
"dwifob,1e-4,3"  ,dwifob ,1e-4      ,     3 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  34.947132664 ,                      7973.0 ,213.99319648895727 ,213.9994551904656  ,1.4589297704349766e-5   ,9.744612348990496e-5   ,1.93249076323454e-5   ,0.0                    ,0.0                   ,1.9489224697980992e-5       ,9.6624538161727e-6             ,0.0                       ,0.0                          ,  0.24999516877317451 ,4.795686234998435  , 20.760530687790606
"dwifob,1e-4,4"  ,dwifob ,1e-4      ,     4 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  36.427313976 ,                      7973.0 ,213.99558215307178 ,213.99984602078143 ,9.939191491629156e-6    ,6.32764565662572e-5    ,1.2548592336347753e-5 ,0.0                    ,0.0                   ,1.2655291313251438e-5       ,6.274296168173876e-6           ,0.0                       ,0.0                          ,  0.2499970808755481  ,4.79573718061358   , 20.75319156923955
"dwifob,1e-4,5"  ,dwifob ,1e-4      ,     5 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  36.625243146 ,                      7973.0 ,213.99941343180421 ,213.99996942962187 ,1.2960340734008897e-6   ,8.401372776512503e-6   ,1.6661078667823404e-6 ,0.0                    ,0.0                   ,1.6802745553025006e-6       ,8.330539333911702e-7           ,0.0                       ,0.0                          ,  0.2500079646567964  ,4.795819000084904  , 20.772618238304656
"dwifob,1e-4,6"  ,dwifob ,1e-4      ,     6 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  37.693386026 ,                      7973.0 ,213.999964986882   ,213.999993952175   ,6.751817199176292e-8    ,5.014956806254492e-7   ,9.945360202046061e-8  ,0.0                    ,0.0                   ,1.0029913612508985e-7       ,4.9726801010230304e-8          ,0.0                       ,0.0                          ,  0.2499999751373002  ,4.795830775602349  , 20.763735989745598
"dwifob,1e-4,7"  ,dwifob ,1e-4      ,     7 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  38.350374457 ,                      7973.0 ,213.99999675643375 ,213.99999932312593 ,5.9829655291881725e-9   ,4.646414849817962e-8   ,9.221474361886806e-9  ,0.0                    ,0.0                   ,9.292829699635924e-9        ,4.610737180943403e-9           ,0.0                       ,0.0                          ,  0.2500678627887433  ,4.795831537641275  , 20.755449411093394
"dwifob,1e-4,10" ,dwifob ,1e-4      ,    10 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  44.482047955 ,                      7973.0 ,214.00000000705927 ,214.0000000003127  ,1.5726281711461042e-11  ,8.767411368087496e-8   ,8.181334165691112e-9  ,1.156415167890076e-7   ,4.099369910193218e-8  ,1.7534822736174993e-8       ,4.090667082845556e-9           ,1.4351181959206815e-10    ,1.9003701570809694e-9        ,  0.25002987348764916 ,4.79583154706925   , 20.754113620909575
"dwifob,1e-4,15" ,dwifob ,1e-4      ,    15 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  47.642485319 ,                      7973.0 ,214.0000078931501  ,214.00000000039776 ,1.8398023755061744e-8   ,4.7439600276940904e-5  ,5.626383641155197e-6  ,4.4711004159918964e-5  ,1.1055112741242823e-5 ,9.487920055388181e-6        ,2.8131918205775985e-6          ,5.548662574606104e-8      ,5.124886701340214e-7         ,  0.25013541365926073 ,4.795831997221585  , 20.67726420921536
"dwifob,1e-4,20" ,dwifob ,1e-4      ,    20 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  58.903380784 ,                      7973.0 ,213.99893902005897 ,214.00000000040023 ,2.4731537651059217e-6   ,0.000316332982410827   ,4.130918450195864e-5  ,0.00030339094604087477 ,6.464399151173694e-5  ,6.32665964821654e-5         ,2.065459225097932e-5           ,3.765099933229486e-7      ,2.9967413284182043e-6        ,  0.25007164318245034 ,4.795831561599906  , 20.76153989578338
"dwifob,1e-4,30" ,dwifob ,1e-4      ,    30 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  66.158885651 ,                      7973.0 ,214.00081631784167 ,213.9993949514801  ,3.313206670373595e-6    ,1.1549315352541702e-5  ,2.3265756079471345e-6 ,0.0                    ,0.0                   ,2.3098630705083402e-6       ,1.1632878039735672e-6          ,0.0                       ,0.0                          ,  0.25023372481644646 ,4.795850117679909  , 20.772805571978797
"dwifob,1e-4,40" ,dwifob ,1e-4      ,    40 ,nug08-3rd     ,TERMINATION_REASON_OPTIMAL ,           2600 ,  97.41247051  ,                      7973.0 ,214.0182132171882  ,213.99766100699685 ,4.790547722390464e-5    ,0.0002575931748220929  ,5.175854933536783e-5  ,0.0                    ,0.0                   ,5.1518634964418586e-5       ,2.5879274667683916e-5          ,0.0                       ,0.0                          ,  0.2504181716942191  ,4.7962260049951295 , 20.74403303865521
